{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 24.386648  auc  0.7744  rmse  0.4428  df(ActivateDay.Avg) 4.6178
               valid loss 8.037271  auc  0.7815  rmse  0.4235  df(ActivateDay.Avg) 4.4209
                test loss 21.469417  auc  0.7814  rmse  0.4239  df(ActivateDay.Avg) 4.4606
      train: epoch 1 loss 24.021651  auc  0.7813  rmse  0.4440  df(ActivateDay.Avg) 4.6189
               valid loss 8.021963  auc  0.7841  rmse  0.4102  df(ActivateDay.Avg) 4.1698
                test loss 21.472308  auc  0.7836  rmse  0.4104  df(ActivateDay.Avg) 4.2044
      train: epoch 2 loss 23.956922  auc  0.7828  rmse  0.4440  df(ActivateDay.Avg) 4.6162
               valid loss 8.060306  auc  0.7825  rmse  0.4774  df(ActivateDay.Avg) 4.9413
      train: epoch 3 loss 23.887580  auc  0.7847  rmse  0.4451  df(ActivateDay.Avg) 4.6255
               valid loss 8.232267  auc  0.7848  rmse  0.3751  df(ActivateDay.Avg) 3.6172
                test loss 21.974399  auc  0.7854  rmse  0.3746  df(ActivateDay.Avg) 3.6482
      train: epoch 4 loss 23.847608  auc  0.7857  rmse  0.4450  df(ActivateDay.Avg) 4.6190
               valid loss 8.127763  auc  0.7842  rmse  0.3885  df(ActivateDay.Avg) 3.8699
      train: epoch 5 loss 23.828075  auc  0.7857  rmse  0.4448  df(ActivateDay.Avg) 4.6173
               valid loss 7.945861  auc  0.7854  rmse  0.4456  df(ActivateDay.Avg) 4.6543
                test loss 21.173578  auc  0.7858  rmse  0.4456  df(ActivateDay.Avg) 4.6965
      train: epoch 6 loss 23.847021  auc  0.7852  rmse  0.4451  df(ActivateDay.Avg) 4.6246
               valid loss 7.975894  auc  0.7849  rmse  0.4624  df(ActivateDay.Avg) 4.7403
      train: epoch 7 loss 23.815263  auc  0.7864  rmse  0.4447  df(ActivateDay.Avg) 4.6143
               valid loss 7.955261  auc  0.7861  rmse  0.4594  df(ActivateDay.Avg) 4.8297
                test loss 21.226676  auc  0.7860  rmse  0.4593  df(ActivateDay.Avg) 4.8743
      train: epoch 8 loss 23.784596  auc  0.7861  rmse  0.4454  df(ActivateDay.Avg) 4.6264
               valid loss 7.975324  auc  0.7861  rmse  0.4740  df(ActivateDay.Avg) 4.9485
                test loss 21.265140  auc  0.7865  rmse  0.4761  df(ActivateDay.Avg) 5.0266
      train: epoch 9 loss 23.784975  auc  0.7867  rmse  0.4451  df(ActivateDay.Avg) 4.6214
               valid loss 7.990131  auc  0.7853  rmse  0.4545  df(ActivateDay.Avg) 4.5863
     train: epoch 10 loss 23.721900  auc  0.7881  rmse  0.4456  df(ActivateDay.Avg) 4.6201
               valid loss 7.927896  auc  0.7871  rmse  0.4571  df(ActivateDay.Avg) 4.7569
                test loss 21.115264  auc  0.7875  rmse  0.4589  df(ActivateDay.Avg) 4.8298
     train: epoch 11 loss 23.737609  auc  0.7875  rmse  0.4455  df(ActivateDay.Avg) 4.6262
               valid loss 7.990788  auc  0.7866  rmse  0.4749  df(ActivateDay.Avg) 4.8450
     train: epoch 12 loss 23.719982  auc  0.7877  rmse  0.4461  df(ActivateDay.Avg) 4.6252
