{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.642360  auc  0.7089  rmse  0.1217  df(ActivateDay.Avg) 0.0344
               valid loss 17.282405  auc  0.7698  rmse  0.1149  df(ActivateDay.Avg) 0.0550
                test loss 46.293930  auc  0.7679  rmse  0.1148  df(ActivateDay.Avg) 0.0477
      train: epoch 1 loss 0.587243  auc  0.7470  rmse  0.1164  df(ActivateDay.Avg) 0.0246
               valid loss 15.499026  auc  0.7703  rmse  0.1157  df(ActivateDay.Avg) 0.2156
      train: epoch 2 loss 0.581698  auc  0.7503  rmse  0.1158  df(ActivateDay.Avg) 0.0311
               valid loss 16.161320  auc  0.7707  rmse  0.1144  df(ActivateDay.Avg) 0.1070
                test loss 43.246124  auc  0.7691  rmse  0.1144  df(ActivateDay.Avg) 0.1171
      train: epoch 3 loss 0.578917  auc  0.7530  rmse  0.1156  df(ActivateDay.Avg) 0.0334
               valid loss 18.536871  auc  0.7706  rmse  0.1164  df(ActivateDay.Avg) 0.2107
      train: epoch 4 loss 0.577947  auc  0.7568  rmse  0.1155  df(ActivateDay.Avg) 0.0352
               valid loss 15.588001  auc  0.7707  rmse  0.1150  df(ActivateDay.Avg) 0.2016
      train: epoch 5 loss 0.575576  auc  0.7558  rmse  0.1152  df(ActivateDay.Avg) 0.0358
               valid loss 17.023060  auc  0.7712  rmse  0.1147  df(ActivateDay.Avg) 0.0380
      train: epoch 6 loss 0.574976  auc  0.7561  rmse  0.1152  df(ActivateDay.Avg) 0.0350
               valid loss 17.585595  auc  0.7690  rmse  0.1148  df(ActivateDay.Avg) 0.0853
      train: epoch 7 loss 0.574839  auc  0.7563  rmse  0.1152  df(ActivateDay.Avg) 0.0358
               valid loss 16.750561  auc  0.7715  rmse  0.1140  df(ActivateDay.Avg) 0.0173
                test loss 44.828135  auc  0.7699  rmse  0.1138  df(ActivateDay.Avg) 0.0263
      train: epoch 8 loss 0.574446  auc  0.7593  rmse  0.1151  df(ActivateDay.Avg) 0.0379
               valid loss 18.603989  auc  0.7721  rmse  0.1161  df(ActivateDay.Avg) 0.2109
      train: epoch 9 loss 0.574861  auc  0.7560  rmse  0.1152  df(ActivateDay.Avg) 0.0346
               valid loss 15.902028  auc  0.7723  rmse  0.1146  df(ActivateDay.Avg) 0.1473
     train: epoch 10 loss 0.573425  auc  0.7617  rmse  0.1150  df(ActivateDay.Avg) 0.0396
               valid loss 16.816191  auc  0.7708  rmse  0.1144  df(ActivateDay.Avg) 0.0052
     train: epoch 11 loss 0.572917  auc  0.7610  rmse  0.1150  df(ActivateDay.Avg) 0.0392
