{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 2, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 24.530164  auc  0.7708  rmse  0.4433  df(ActivateDay.Avg) 4.6044
               valid loss 7.896956  auc  0.7901  rmse  0.4504  df(ActivateDay.Avg) 4.8177
                test loss 21.318774  auc  0.7831  rmse  0.4493  df(ActivateDay.Avg) 4.7357
      train: epoch 1 loss 24.131465  auc  0.7795  rmse  0.4452  df(ActivateDay.Avg) 4.6104
               valid loss 8.015073  auc  0.7898  rmse  0.4934  df(ActivateDay.Avg) 5.2698
      train: epoch 2 loss 24.043032  auc  0.7809  rmse  0.4456  df(ActivateDay.Avg) 4.6095
               valid loss 7.872906  auc  0.7915  rmse  0.4338  df(ActivateDay.Avg) 4.6496
                test loss 21.283505  auc  0.7848  rmse  0.4342  df(ActivateDay.Avg) 4.5917
      train: epoch 3 loss 24.027226  auc  0.7814  rmse  0.4458  df(ActivateDay.Avg) 4.6147
               valid loss 7.948993  auc  0.7925  rmse  0.4489  df(ActivateDay.Avg) 4.9485
                test loss 21.427104  auc  0.7854  rmse  0.4501  df(ActivateDay.Avg) 4.8954
      train: epoch 4 loss 23.986740  auc  0.7825  rmse  0.4453  df(ActivateDay.Avg) 4.6044
               valid loss 7.958897  auc  0.7917  rmse  0.4808  df(ActivateDay.Avg) 5.2702
      train: epoch 5 loss 23.924146  auc  0.7838  rmse  0.4462  df(ActivateDay.Avg) 4.6126
               valid loss 7.864327  auc  0.7920  rmse  0.4166  df(ActivateDay.Avg) 4.2687
      train: epoch 6 loss 23.932354  auc  0.7833  rmse  0.4464  df(ActivateDay.Avg) 4.6118
               valid loss 7.913853  auc  0.7934  rmse  0.3969  df(ActivateDay.Avg) 4.1640
                test loss 21.420525  auc  0.7866  rmse  0.3983  df(ActivateDay.Avg) 4.1248
      train: epoch 7 loss 23.911493  auc  0.7839  rmse  0.4463  df(ActivateDay.Avg) 4.6137
               valid loss 7.832856  auc  0.7933  rmse  0.4603  df(ActivateDay.Avg) 4.8437
      train: epoch 8 loss 23.883694  auc  0.7842  rmse  0.4458  df(ActivateDay.Avg) 4.6012
               valid loss 8.069616  auc  0.7934  rmse  0.4995  df(ActivateDay.Avg) 5.5653
      train: epoch 9 loss 23.848240  auc  0.7850  rmse  0.4465  df(ActivateDay.Avg) 4.6136
               valid loss 7.857366  auc  0.7943  rmse  0.4670  df(ActivateDay.Avg) 5.0473
                test loss 21.222580  auc  0.7867  rmse  0.4693  df(ActivateDay.Avg) 5.0107
     train: epoch 10 loss 23.865330  auc  0.7844  rmse  0.4465  df(ActivateDay.Avg) 4.6155
               valid loss 7.861627  auc  0.7931  rmse  0.4728  df(ActivateDay.Avg) 5.0505
     train: epoch 11 loss 23.843437  auc  0.7850  rmse  0.4464  df(ActivateDay.Avg) 4.6081
               valid loss 7.812165  auc  0.7937  rmse  0.4477  df(ActivateDay.Avg) 4.7632
     train: epoch 12 loss 23.838632  auc  0.7853  rmse  0.4470  df(ActivateDay.Avg) 4.6153
               valid loss 7.887247  auc  0.7935  rmse  0.4772  df(ActivateDay.Avg) 5.1628
     train: epoch 13 loss 23.818568  auc  0.7852  rmse  0.4471  df(ActivateDay.Avg) 4.6191
               valid loss 7.780779  auc  0.7955  rmse  0.4368  df(ActivateDay.Avg) 4.6143
                test loss 21.086144  auc  0.7877  rmse  0.4371  df(ActivateDay.Avg) 4.5570
     train: epoch 14 loss 23.835205  auc  0.7858  rmse  0.4468  df(ActivateDay.Avg) 4.6144
               valid loss 7.789982  auc  0.7949  rmse  0.4411  df(ActivateDay.Avg) 4.5847
     train: epoch 15 loss 23.811005  auc  0.7860  rmse  0.4474  df(ActivateDay.Avg) 4.6191
               valid loss 7.836954  auc  0.7941  rmse  0.4628  df(ActivateDay.Avg) 4.9955
     train: epoch 16 loss 23.815927  auc  0.7855  rmse  0.4466  df(ActivateDay.Avg) 4.6089
               valid loss 7.801662  auc  0.7947  rmse  0.4589  df(ActivateDay.Avg) 4.8236
     train: epoch 17 loss 23.810267  auc  0.7857  rmse  0.4468  df(ActivateDay.Avg) 4.6123
               valid loss 7.807076  auc  0.7951  rmse  0.4629  df(ActivateDay.Avg) 4.9139
     train: epoch 18 loss 23.769653  auc  0.7865  rmse  0.4477  df(ActivateDay.Avg) 4.6199
               valid loss 7.847560  auc  0.7942  rmse  0.4091  df(ActivateDay.Avg) 4.2627
     train: epoch 19 loss 23.781892  auc  0.7861  rmse  0.4463  df(ActivateDay.Avg) 4.6052
               valid loss 7.864427  auc  0.7942  rmse  0.4733  df(ActivateDay.Avg) 5.1234
     train: epoch 20 loss 23.797731  auc  0.7861  rmse  0.4475  df(ActivateDay.Avg) 4.6212
               valid loss 7.805915  auc  0.7948  rmse  0.4577  df(ActivateDay.Avg) 4.8463
     train: epoch 21 loss 23.778093  auc  0.7870  rmse  0.4472  df(ActivateDay.Avg) 4.6114
               valid loss 7.915408  auc  0.7915  rmse  0.4706  df(ActivateDay.Avg) 5.1424
     train: epoch 22 loss 23.785995  auc  0.7863  rmse  0.4474  df(ActivateDay.Avg) 4.6204
               valid loss 7.808101  auc  0.7945  rmse  0.4364  df(ActivateDay.Avg) 4.4748
     train: epoch 23 loss 23.794007  auc  0.7865  rmse  0.4470  df(ActivateDay.Avg) 4.6146
               valid loss 7.800891  auc  0.7945  rmse  0.4547  df(ActivateDay.Avg) 4.8133
     train: epoch 24 loss 23.760566  auc  0.7865  rmse  0.4471  df(ActivateDay.Avg) 4.6102
               valid loss 7.834088  auc  0.7935  rmse  0.4212  df(ActivateDay.Avg) 4.4104
     train: epoch 25 loss 23.755864  auc  0.7870  rmse  0.4471  df(ActivateDay.Avg) 4.6120
               valid loss 7.797840  auc  0.7939  rmse  0.4464  df(ActivateDay.Avg) 4.7270
     train: epoch 26 loss 23.788659  auc  0.7862  rmse  0.4474  df(ActivateDay.Avg) 4.6177
               valid loss 7.817501  auc  0.7946  rmse  0.4443  df(ActivateDay.Avg) 4.7784
     train: epoch 27 loss 23.778723  auc  0.7860  rmse  0.4467  df(ActivateDay.Avg) 4.6111
               valid loss 7.794061  auc  0.7947  rmse  0.4386  df(ActivateDay.Avg) 4.5047
     train: epoch 28 loss 23.757047  auc  0.7867  rmse  0.4473  df(ActivateDay.Avg) 4.6187
               valid loss 7.813996  auc  0.7955  rmse  0.4707  df(ActivateDay.Avg) 5.0377
     train: epoch 29 loss 23.741287  auc  0.7872  rmse  0.4476  df(ActivateDay.Avg) 4.6193
               valid loss 7.803193  auc  0.7947  rmse  0.4234  df(ActivateDay.Avg) 4.4301
     train: epoch 30 loss 23.720858  auc  0.7876  rmse  0.4472  df(ActivateDay.Avg) 4.6117
               valid loss 7.825764  auc  0.7954  rmse  0.4734  df(ActivateDay.Avg) 4.9899
     train: epoch 31 loss 23.730112  auc  0.7878  rmse  0.4478  df(ActivateDay.Avg) 4.6213
               valid loss 7.786797  auc  0.7949  rmse  0.4446  df(ActivateDay.Avg) 4.7136
     train: epoch 32 loss 23.730390  auc  0.7870  rmse  0.4472  df(ActivateDay.Avg) 4.6175
               valid loss 7.804616  auc  0.7941  rmse  0.4415  df(ActivateDay.Avg) 4.5436
     train: epoch 33 loss 23.756303  auc  0.7871  rmse  0.4474  df(ActivateDay.Avg) 4.6158
               valid loss 7.889832  auc  0.7954  rmse  0.3941  df(ActivateDay.Avg) 4.0352
     train: epoch 34 loss 23.729286  auc  0.7874  rmse  0.4472  df(ActivateDay.Avg) 4.6131
               valid loss 7.799341  auc  0.7951  rmse  0.4297  df(ActivateDay.Avg) 4.5368
     train: epoch 35 loss 23.721043  auc  0.7875  rmse  0.4476  df(ActivateDay.Avg) 4.6147
               valid loss 7.785306  auc  0.7957  rmse  0.4383  df(ActivateDay.Avg) 4.6218
                test loss 21.091818  auc  0.7881  rmse  0.4391  df(ActivateDay.Avg) 4.5706
