{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 2, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.644785  auc  0.7090  rmse  0.1220  df(ActivateDay.Avg) 0.0425
               valid loss 14.274223  auc  0.7780  rmse  0.1185  df(ActivateDay.Avg) 0.4498
                test loss 38.845906  auc  0.7691  rmse  0.1192  df(ActivateDay.Avg) 0.4325
      train: epoch 1 loss 0.583406  auc  0.7496  rmse  0.1160  df(ActivateDay.Avg) 0.0305
               valid loss 17.987164  auc  0.7779  rmse  0.1145  df(ActivateDay.Avg) 0.1653
                test loss 48.968797  auc  0.7687  rmse  0.1154  df(ActivateDay.Avg) 0.1733
      train: epoch 2 loss 0.580160  auc  0.7533  rmse  0.1157  df(ActivateDay.Avg) 0.0337
               valid loss 17.351568  auc  0.7790  rmse  0.1135  df(ActivateDay.Avg) 0.0884
                test loss 47.280252  auc  0.7698  rmse  0.1144  df(ActivateDay.Avg) 0.0989
      train: epoch 3 loss 0.577917  auc  0.7549  rmse  0.1155  df(ActivateDay.Avg) 0.0352
               valid loss 16.910140  auc  0.7771  rmse  0.1132  df(ActivateDay.Avg) 0.0243
                test loss 46.045611  auc  0.7684  rmse  0.1140  df(ActivateDay.Avg) 0.0346
      train: epoch 4 loss 0.580201  auc  0.7512  rmse  0.1157  df(ActivateDay.Avg) 0.0311
               valid loss 15.562306  auc  0.7800  rmse  0.1132  df(ActivateDay.Avg) 0.1784
      train: epoch 5 loss 0.578772  auc  0.7540  rmse  0.1156  df(ActivateDay.Avg) 0.0348
               valid loss 15.176520  auc  0.7798  rmse  0.1143  df(ActivateDay.Avg) 0.2513
      train: epoch 6 loss 0.578542  auc  0.7526  rmse  0.1155  df(ActivateDay.Avg) 0.0320
               valid loss 16.403608  auc  0.7786  rmse  0.1138  df(ActivateDay.Avg) 0.0332
      train: epoch 7 loss 0.579411  auc  0.7555  rmse  0.1156  df(ActivateDay.Avg) 0.0358
               valid loss 16.038138  auc  0.7779  rmse  0.1132  df(ActivateDay.Avg) 0.1040
      train: epoch 8 loss 0.577240  auc  0.7563  rmse  0.1154  df(ActivateDay.Avg) 0.0381
               valid loss 17.298874  auc  0.7801  rmse  0.1133  df(ActivateDay.Avg) 0.0838
      train: epoch 9 loss 0.576667  auc  0.7575  rmse  0.1153  df(ActivateDay.Avg) 0.0389
               valid loss 17.092062  auc  0.7804  rmse  0.1134  df(ActivateDay.Avg) 0.0669
     train: epoch 10 loss 0.575322  auc  0.7572  rmse  0.1152  df(ActivateDay.Avg) 0.0390
               valid loss 15.897715  auc  0.7794  rmse  0.1131  df(ActivateDay.Avg) 0.1182
                test loss 43.269123  auc  0.7704  rmse  0.1143  df(ActivateDay.Avg) 0.1061
     train: epoch 11 loss 0.575504  auc  0.7567  rmse  0.1152  df(ActivateDay.Avg) 0.0390
               valid loss 15.372758  auc  0.7783  rmse  0.1140  df(ActivateDay.Avg) 0.2194
     train: epoch 12 loss 0.576310  auc  0.7580  rmse  0.1153  df(ActivateDay.Avg) 0.0377
               valid loss 15.869852  auc  0.7793  rmse  0.1131  df(ActivateDay.Avg) 0.1263
     train: epoch 13 loss 0.575408  auc  0.7573  rmse  0.1152  df(ActivateDay.Avg) 0.0384
               valid loss 15.906156  auc  0.7780  rmse  0.1131  df(ActivateDay.Avg) 0.1209
     train: epoch 14 loss 0.573988  auc  0.7602  rmse  0.1151  df(ActivateDay.Avg) 0.0420
               valid loss 16.573256  auc  0.7801  rmse  0.1127  df(ActivateDay.Avg) 0.0178
                test loss 45.141465  auc  0.7712  rmse  0.1137  df(ActivateDay.Avg) 0.0060
     train: epoch 15 loss 0.573546  auc  0.7602  rmse  0.1150  df(ActivateDay.Avg) 0.0413
               valid loss 15.501871  auc  0.7802  rmse  0.1134  df(ActivateDay.Avg) 0.1905
     train: epoch 16 loss 0.575813  auc  0.7567  rmse  0.1153  df(ActivateDay.Avg) 0.0383
               valid loss 15.652677  auc  0.7805  rmse  0.1131  df(ActivateDay.Avg) 0.1619
     train: epoch 17 loss 0.573484  auc  0.7614  rmse  0.1150  df(ActivateDay.Avg) 0.0402
               valid loss 16.666451  auc  0.7788  rmse  0.1130  df(ActivateDay.Avg) 0.0009
     train: epoch 18 loss 0.575524  auc  0.7593  rmse  0.1152  df(ActivateDay.Avg) 0.0395
               valid loss 15.139160  auc  0.7789  rmse  0.1143  df(ActivateDay.Avg) 0.2588
     train: epoch 19 loss 0.574977  auc  0.7591  rmse  0.1152  df(ActivateDay.Avg) 0.0389
               valid loss 16.689840  auc  0.7794  rmse  0.1128  df(ActivateDay.Avg) 0.0005
     train: epoch 20 loss 0.573621  auc  0.7619  rmse  0.1150  df(ActivateDay.Avg) 0.0408
               valid loss 16.445155  auc  0.7794  rmse  0.1129  df(ActivateDay.Avg) 0.0313
     train: epoch 21 loss 0.575504  auc  0.7610  rmse  0.1152  df(ActivateDay.Avg) 0.0400
               valid loss 16.405348  auc  0.7785  rmse  0.1130  df(ActivateDay.Avg) 0.0386
     train: epoch 22 loss 0.573948  auc  0.7595  rmse  0.1151  df(ActivateDay.Avg) 0.0405
               valid loss 16.307357  auc  0.7791  rmse  0.1128  df(ActivateDay.Avg) 0.0541
     train: epoch 23 loss 0.574396  auc  0.7594  rmse  0.1151  df(ActivateDay.Avg) 0.0412
               valid loss 15.684018  auc  0.7797  rmse  0.1132  df(ActivateDay.Avg) 0.1563
     train: epoch 24 loss 0.573094  auc  0.7608  rmse  0.1150  df(ActivateDay.Avg) 0.0415
               valid loss 15.784174  auc  0.7797  rmse  0.1132  df(ActivateDay.Avg) 0.1365
     train: epoch 25 loss 0.574344  auc  0.7592  rmse  0.1151  df(ActivateDay.Avg) 0.0387
               valid loss 16.457706  auc  0.7799  rmse  0.1126  df(ActivateDay.Avg) 0.0358
                test loss 44.814588  auc  0.7709  rmse  0.1136  df(ActivateDay.Avg) 0.0243
     train: epoch 26 loss 0.575320  auc  0.7573  rmse  0.1152  df(ActivateDay.Avg) 0.0390
               valid loss 15.917334  auc  0.7802  rmse  0.1129  df(ActivateDay.Avg) 0.1151
     train: epoch 27 loss 0.575026  auc  0.7588  rmse  0.1152  df(ActivateDay.Avg) 0.0384
               valid loss 16.354871  auc  0.7805  rmse  0.1127  df(ActivateDay.Avg) 0.0456
     train: epoch 28 loss 0.574464  auc  0.7595  rmse  0.1151  df(ActivateDay.Avg) 0.0400
               valid loss 16.338200  auc  0.7797  rmse  0.1130  df(ActivateDay.Avg) 0.0446
     train: epoch 29 loss 0.574269  auc  0.7609  rmse  0.1151  df(ActivateDay.Avg) 0.0394
               valid loss 16.503774  auc  0.7801  rmse  0.1130  df(ActivateDay.Avg) 0.0190
     train: epoch 30 loss 0.575801  auc  0.7602  rmse  0.1153  df(ActivateDay.Avg) 0.0392
               valid loss 16.970244  auc  0.7795  rmse  0.1131  df(ActivateDay.Avg) 0.0426
     train: epoch 31 loss 0.574172  auc  0.7606  rmse  0.1151  df(ActivateDay.Avg) 0.0404
               valid loss 16.325109  auc  0.7765  rmse  0.1131  df(ActivateDay.Avg) 0.0526
     train: epoch 32 loss 0.575167  auc  0.7582  rmse  0.1152  df(ActivateDay.Avg) 0.0386
               valid loss 16.471702  auc  0.7792  rmse  0.1130  df(ActivateDay.Avg) 0.0247
     train: epoch 33 loss 0.575785  auc  0.7581  rmse  0.1153  df(ActivateDay.Avg) 0.0394
               valid loss 16.922976  auc  0.7790  rmse  0.1133  df(ActivateDay.Avg) 0.0405
     train: epoch 34 loss 0.575260  auc  0.7580  rmse  0.1152  df(ActivateDay.Avg) 0.0382
               valid loss 16.021131  auc  0.7795  rmse  0.1130  df(ActivateDay.Avg) 0.1002
     train: epoch 35 loss 0.575511  auc  0.7588  rmse  0.1152  df(ActivateDay.Avg) 0.0390
               valid loss 16.237826  auc  0.7794  rmse  0.1128  df(ActivateDay.Avg) 0.0715
     train: epoch 36 loss 0.574542  auc  0.7597  rmse  0.1151  df(ActivateDay.Avg) 0.0407
               valid loss 16.651192  auc  0.7796  rmse  0.1129  df(ActivateDay.Avg) 0.0018
     train: epoch 37 loss 0.574953  auc  0.7596  rmse  0.1152  df(ActivateDay.Avg) 0.0396
               valid loss 17.709968  auc  0.7775  rmse  0.1139  df(ActivateDay.Avg) 0.1243
