{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 3, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 24.575234  auc  0.7695  rmse  0.4390  df(ActivateDay.Avg) 4.5852
               valid loss 7.953204  auc  0.7877  rmse  0.4518  df(ActivateDay.Avg) 4.6922
                test loss 21.451691  auc  0.7810  rmse  0.4532  df(ActivateDay.Avg) 4.7279
      train: epoch 1 loss 24.121466  auc  0.7781  rmse  0.4421  df(ActivateDay.Avg) 4.6013
               valid loss 8.119936  auc  0.7888  rmse  0.3869  df(ActivateDay.Avg) 3.7950
                test loss 21.798829  auc  0.7824  rmse  0.3879  df(ActivateDay.Avg) 3.8289
      train: epoch 2 loss 24.044786  auc  0.7804  rmse  0.4428  df(ActivateDay.Avg) 4.6025
               valid loss 7.888013  auc  0.7909  rmse  0.4592  df(ActivateDay.Avg) 4.8077
                test loss 21.262219  auc  0.7845  rmse  0.4602  df(ActivateDay.Avg) 4.8432
      train: epoch 3 loss 23.966595  auc  0.7822  rmse  0.4424  df(ActivateDay.Avg) 4.5983
               valid loss 8.078086  auc  0.7906  rmse  0.5112  df(ActivateDay.Avg) 5.4723
      train: epoch 4 loss 23.974057  auc  0.7818  rmse  0.4434  df(ActivateDay.Avg) 4.6069
               valid loss 8.010998  auc  0.7921  rmse  0.4424  df(ActivateDay.Avg) 4.8153
                test loss 21.495532  auc  0.7856  rmse  0.4445  df(ActivateDay.Avg) 4.8631
      train: epoch 5 loss 23.941414  auc  0.7823  rmse  0.4432  df(ActivateDay.Avg) 4.6025
               valid loss 7.969849  auc  0.7922  rmse  0.4064  df(ActivateDay.Avg) 4.1444
                test loss 21.408055  auc  0.7865  rmse  0.4068  df(ActivateDay.Avg) 4.1684
      train: epoch 6 loss 23.898949  auc  0.7836  rmse  0.4439  df(ActivateDay.Avg) 4.6113
               valid loss 7.901545  auc  0.7913  rmse  0.4326  df(ActivateDay.Avg) 4.3464
      train: epoch 7 loss 23.884057  auc  0.7840  rmse  0.4436  df(ActivateDay.Avg) 4.6032
               valid loss 7.864634  auc  0.7935  rmse  0.4681  df(ActivateDay.Avg) 4.7933
                test loss 21.248000  auc  0.7864  rmse  0.4702  df(ActivateDay.Avg) 4.8481
      train: epoch 8 loss 23.859072  auc  0.7842  rmse  0.4439  df(ActivateDay.Avg) 4.6044
               valid loss 7.943303  auc  0.7930  rmse  0.4119  df(ActivateDay.Avg) 4.3158
      train: epoch 9 loss 23.852941  auc  0.7842  rmse  0.4433  df(ActivateDay.Avg) 4.6018
               valid loss 7.861518  auc  0.7929  rmse  0.4371  df(ActivateDay.Avg) 4.5337
     train: epoch 10 loss 23.813990  auc  0.7848  rmse  0.4446  df(ActivateDay.Avg) 4.6102
               valid loss 7.848748  auc  0.7938  rmse  0.4430  df(ActivateDay.Avg) 4.6316
