{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 3, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.636542  auc  0.7072  rmse  0.1212  df(ActivateDay.Avg) 0.0380
               valid loss 18.402477  auc  0.7754  rmse  0.1165  df(ActivateDay.Avg) 0.1932
                test loss 48.894483  auc  0.7688  rmse  0.1162  df(ActivateDay.Avg) 0.1837
      train: epoch 1 loss 0.580727  auc  0.7509  rmse  0.1158  df(ActivateDay.Avg) 0.0311
               valid loss 17.799051  auc  0.7756  rmse  0.1152  df(ActivateDay.Avg) 0.1177
                test loss 47.272625  auc  0.7695  rmse  0.1148  df(ActivateDay.Avg) 0.1068
      train: epoch 2 loss 0.578507  auc  0.7527  rmse  0.1155  df(ActivateDay.Avg) 0.0323
               valid loss 17.219534  auc  0.7772  rmse  0.1145  df(ActivateDay.Avg) 0.0350
                test loss 45.731549  auc  0.7707  rmse  0.1141  df(ActivateDay.Avg) 0.0224
      train: epoch 3 loss 0.577809  auc  0.7545  rmse  0.1155  df(ActivateDay.Avg) 0.0350
               valid loss 17.127208  auc  0.7756  rmse  0.1147  df(ActivateDay.Avg) 0.0360
      train: epoch 4 loss 0.576803  auc  0.7552  rmse  0.1154  df(ActivateDay.Avg) 0.0341
               valid loss 16.093405  auc  0.7771  rmse  0.1146  df(ActivateDay.Avg) 0.1285
      train: epoch 5 loss 0.576317  auc  0.7563  rmse  0.1153  df(ActivateDay.Avg) 0.0367
               valid loss 16.287841  auc  0.7767  rmse  0.1142  df(ActivateDay.Avg) 0.0955
                test loss 43.266784  auc  0.7699  rmse  0.1139  df(ActivateDay.Avg) 0.1086
      train: epoch 6 loss 0.575015  auc  0.7546  rmse  0.1152  df(ActivateDay.Avg) 0.0327
               valid loss 14.995778  auc  0.7762  rmse  0.1170  df(ActivateDay.Avg) 0.3332
      train: epoch 7 loss 0.573483  auc  0.7589  rmse  0.1150  df(ActivateDay.Avg) 0.0398
               valid loss 16.006328  auc  0.7773  rmse  0.1143  df(ActivateDay.Avg) 0.1421
      train: epoch 8 loss 0.574651  auc  0.7564  rmse  0.1151  df(ActivateDay.Avg) 0.0359
               valid loss 18.172438  auc  0.7782  rmse  0.1154  df(ActivateDay.Avg) 0.1654
      train: epoch 9 loss 0.574280  auc  0.7567  rmse  0.1151  df(ActivateDay.Avg) 0.0360
               valid loss 16.083165  auc  0.7759  rmse  0.1144  df(ActivateDay.Avg) 0.1328
     train: epoch 10 loss 0.573350  auc  0.7587  rmse  0.1150  df(ActivateDay.Avg) 0.0396
               valid loss 17.334982  auc  0.7776  rmse  0.1142  df(ActivateDay.Avg) 0.0533
     train: epoch 11 loss 0.573011  auc  0.7587  rmse  0.1150  df(ActivateDay.Avg) 0.0380
               valid loss 16.670743  auc  0.7784  rmse  0.1141  df(ActivateDay.Avg) 0.0297
                test loss 44.257357  auc  0.7717  rmse  0.1138  df(ActivateDay.Avg) 0.0435
     train: epoch 12 loss 0.571826  auc  0.7584  rmse  0.1149  df(ActivateDay.Avg) 0.0392
               valid loss 16.375633  auc  0.7770  rmse  0.1141  df(ActivateDay.Avg) 0.0793
