{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 24.383668  auc  0.7734  rmse  0.4418  df(ActivateDay.Avg) 4.5918
               valid loss 8.366232  auc  0.7824  rmse  0.5185  df(ActivateDay.Avg) 5.4222
                test loss 22.440290  auc  0.7799  rmse  0.5184  df(ActivateDay.Avg) 5.3910
      train: epoch 1 loss 24.042702  auc  0.7809  rmse  0.4430  df(ActivateDay.Avg) 4.5888
               valid loss 8.084113  auc  0.7863  rmse  0.3877  df(ActivateDay.Avg) 3.9995
                test loss 21.609414  auc  0.7839  rmse  0.3890  df(ActivateDay.Avg) 3.9931
      train: epoch 2 loss 23.935460  auc  0.7837  rmse  0.4441  df(ActivateDay.Avg) 4.5961
               valid loss 8.072755  auc  0.7856  rmse  0.4949  df(ActivateDay.Avg) 5.3647
      train: epoch 3 loss 23.884339  auc  0.7841  rmse  0.4436  df(ActivateDay.Avg) 4.5887
               valid loss 8.134463  auc  0.7850  rmse  0.5035  df(ActivateDay.Avg) 5.4243
      train: epoch 4 loss 23.830516  auc  0.7854  rmse  0.4454  df(ActivateDay.Avg) 4.6046
               valid loss 7.959358  auc  0.7869  rmse  0.4369  df(ActivateDay.Avg) 4.6422
                test loss 21.267706  auc  0.7850  rmse  0.4379  df(ActivateDay.Avg) 4.6283
      train: epoch 5 loss 23.845234  auc  0.7848  rmse  0.4448  df(ActivateDay.Avg) 4.6010
               valid loss 7.939093  auc  0.7874  rmse  0.4546  df(ActivateDay.Avg) 4.8545
                test loss 21.215305  auc  0.7857  rmse  0.4566  df(ActivateDay.Avg) 4.8508
      train: epoch 6 loss 23.812149  auc  0.7854  rmse  0.4447  df(ActivateDay.Avg) 4.5977
               valid loss 7.920492  auc  0.7884  rmse  0.4556  df(ActivateDay.Avg) 4.8165
                test loss 21.177779  auc  0.7861  rmse  0.4568  df(ActivateDay.Avg) 4.8053
      train: epoch 7 loss 23.785543  auc  0.7862  rmse  0.4453  df(ActivateDay.Avg) 4.6015
               valid loss 7.959811  auc  0.7871  rmse  0.4210  df(ActivateDay.Avg) 4.3872
      train: epoch 8 loss 23.750191  auc  0.7870  rmse  0.4449  df(ActivateDay.Avg) 4.6005
               valid loss 7.935402  auc  0.7881  rmse  0.4274  df(ActivateDay.Avg) 4.4760
      train: epoch 9 loss 23.759692  auc  0.7867  rmse  0.4448  df(ActivateDay.Avg) 4.5960
               valid loss 7.922259  auc  0.7885  rmse  0.4564  df(ActivateDay.Avg) 4.8467
                test loss 21.171010  auc  0.7867  rmse  0.4582  df(ActivateDay.Avg) 4.8431
     train: epoch 10 loss 23.746326  auc  0.7870  rmse  0.4449  df(ActivateDay.Avg) 4.5972
               valid loss 7.925949  auc  0.7893  rmse  0.4204  df(ActivateDay.Avg) 4.3483
                test loss 21.170760  auc  0.7873  rmse  0.4226  df(ActivateDay.Avg) 4.3572
     train: epoch 11 loss 23.718202  auc  0.7880  rmse  0.4453  df(ActivateDay.Avg) 4.6026
               valid loss 7.926706  auc  0.7883  rmse  0.4421  df(ActivateDay.Avg) 4.5167
     train: epoch 12 loss 23.708101  auc  0.7881  rmse  0.4452  df(ActivateDay.Avg) 4.5960
