{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.637192  auc  0.7130  rmse  0.1212  df(ActivateDay.Avg) 0.0282
               valid loss 15.606073  auc  0.7655  rmse  0.1159  df(ActivateDay.Avg) 0.2130
                test loss 41.655779  auc  0.7660  rmse  0.1156  df(ActivateDay.Avg) 0.2145
      train: epoch 1 loss 0.584923  auc  0.7484  rmse  0.1162  df(ActivateDay.Avg) 0.0287
               valid loss 17.078677  auc  0.7655  rmse  0.1146  df(ActivateDay.Avg) 0.0248
                test loss 45.564954  auc  0.7661  rmse  0.1144  df(ActivateDay.Avg) 0.0208
      train: epoch 2 loss 0.578413  auc  0.7532  rmse  0.1155  df(ActivateDay.Avg) 0.0329
               valid loss 17.169646  auc  0.7671  rmse  0.1146  df(ActivateDay.Avg) 0.0370
      train: epoch 3 loss 0.579676  auc  0.7538  rmse  0.1156  df(ActivateDay.Avg) 0.0322
               valid loss 15.766302  auc  0.7693  rmse  0.1148  df(ActivateDay.Avg) 0.1818
      train: epoch 4 loss 0.579068  auc  0.7560  rmse  0.1156  df(ActivateDay.Avg) 0.0348
               valid loss 17.453645  auc  0.7698  rmse  0.1143  df(ActivateDay.Avg) 0.0750
                test loss 46.561873  auc  0.7695  rmse  0.1142  df(ActivateDay.Avg) 0.0693
      train: epoch 5 loss 0.576057  auc  0.7595  rmse  0.1153  df(ActivateDay.Avg) 0.0380
               valid loss 16.726859  auc  0.7702  rmse  0.1141  df(ActivateDay.Avg) 0.0203
                test loss 44.627116  auc  0.7699  rmse  0.1139  df(ActivateDay.Avg) 0.0250
      train: epoch 6 loss 0.576018  auc  0.7608  rmse  0.1153  df(ActivateDay.Avg) 0.0392
               valid loss 17.620100  auc  0.7695  rmse  0.1144  df(ActivateDay.Avg) 0.0912
      train: epoch 7 loss 0.576238  auc  0.7566  rmse  0.1153  df(ActivateDay.Avg) 0.0363
               valid loss 16.079112  auc  0.7700  rmse  0.1142  df(ActivateDay.Avg) 0.1239
      train: epoch 8 loss 0.574198  auc  0.7577  rmse  0.1151  df(ActivateDay.Avg) 0.0396
               valid loss 17.754039  auc  0.7683  rmse  0.1145  df(ActivateDay.Avg) 0.1100
      train: epoch 9 loss 0.574408  auc  0.7583  rmse  0.1151  df(ActivateDay.Avg) 0.0375
               valid loss 16.522216  auc  0.7703  rmse  0.1138  df(ActivateDay.Avg) 0.0556
                test loss 44.079355  auc  0.7701  rmse  0.1137  df(ActivateDay.Avg) 0.0609
     train: epoch 10 loss 0.574548  auc  0.7591  rmse  0.1151  df(ActivateDay.Avg) 0.0393
               valid loss 17.609568  auc  0.7685  rmse  0.1146  df(ActivateDay.Avg) 0.0902
     train: epoch 11 loss 0.574299  auc  0.7598  rmse  0.1151  df(ActivateDay.Avg) 0.0373
               valid loss 16.506854  auc  0.7719  rmse  0.1137  df(ActivateDay.Avg) 0.0566
                test loss 44.058371  auc  0.7711  rmse  0.1138  df(ActivateDay.Avg) 0.0617
     train: epoch 12 loss 0.573449  auc  0.7603  rmse  0.1150  df(ActivateDay.Avg) 0.0397
               valid loss 15.687183  auc  0.7708  rmse  0.1149  df(ActivateDay.Avg) 0.1944
     train: epoch 13 loss 0.574284  auc  0.7606  rmse  0.1151  df(ActivateDay.Avg) 0.0405
