{'model_name': 'LR', 'embedding_size': 32, 'seed': 1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 25.418934  auc  0.7629  rmse  0.4346  df(ActivateDay.Avg) 4.4775
               valid loss 8.521270  auc  0.7683  rmse  0.4388  df(ActivateDay.Avg) 4.4207
                test loss 23.126447  auc  0.7664  rmse  0.4371  df(ActivateDay.Avg) 4.4392
      train: epoch 1 loss 25.270760  auc  0.7658  rmse  0.4434  df(ActivateDay.Avg) 4.6101
               valid loss 8.408136  auc  0.7698  rmse  0.4447  df(ActivateDay.Avg) 4.5687
                test loss 22.437117  auc  0.7701  rmse  0.4420  df(ActivateDay.Avg) 4.5755
      train: epoch 2 loss 25.150360  auc  0.7688  rmse  0.4447  df(ActivateDay.Avg) 4.6279
               valid loss 8.490148  auc  0.7622  rmse  0.4485  df(ActivateDay.Avg) 4.6314
      train: epoch 3 loss 25.016803  auc  0.7713  rmse  0.4428  df(ActivateDay.Avg) 4.6246
               valid loss 8.471225  auc  0.7625  rmse  0.4464  df(ActivateDay.Avg) 4.6815
      train: epoch 4 loss 25.035338  auc  0.7703  rmse  0.4439  df(ActivateDay.Avg) 4.6454
               valid loss 8.353013  auc  0.7714  rmse  0.4394  df(ActivateDay.Avg) 4.5114
                test loss 22.418497  auc  0.7707  rmse  0.4371  df(ActivateDay.Avg) 4.5251
      train: epoch 5 loss 24.894989  auc  0.7722  rmse  0.4410  df(ActivateDay.Avg) 4.6131
               valid loss 8.323423  auc  0.7706  rmse  0.4407  df(ActivateDay.Avg) 4.5850
