{'model_name': 'LR', 'embedding_size': 32, 'seed': 1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 4.643090  auc  0.5867  rmse  0.3273  df(ActivateDay.Avg) 0.0609
               valid loss 9.708406  auc  0.7515  rmse  0.4538  df(ActivateDay.Avg) 5.1144
                test loss 25.798064  auc  0.7530  rmse  0.4539  df(ActivateDay.Avg) 5.1527
      train: epoch 1 loss 3.002813  auc  0.6051  rmse  0.2632  df(ActivateDay.Avg) 0.0015
               valid loss 9.722047  auc  0.7360  rmse  0.4541  df(ActivateDay.Avg) 5.1158
      train: epoch 2 loss 3.088765  auc  0.6066  rmse  0.2669  df(ActivateDay.Avg) 0.0006
               valid loss 9.547674  auc  0.7401  rmse  0.4511  df(ActivateDay.Avg) 5.0945
                test loss 25.363591  auc  0.7398  rmse  0.4518  df(ActivateDay.Avg) 5.1381
      train: epoch 3 loss 2.685743  auc  0.6251  rmse  0.2489  df(ActivateDay.Avg) 0.0019
               valid loss 9.794631  auc  0.7081  rmse  0.4547  df(ActivateDay.Avg) 5.1149
      train: epoch 4 loss 2.987388  auc  0.6290  rmse  0.2625  df(ActivateDay.Avg) 0.0026
               valid loss 9.903695  auc  0.6528  rmse  0.4552  df(ActivateDay.Avg) 5.0992
      train: epoch 5 loss 2.087940  auc  0.6464  rmse  0.2195  df(ActivateDay.Avg) 0.0054
               valid loss 9.761929  auc  0.7297  rmse  0.4547  df(ActivateDay.Avg) 5.1194
      train: epoch 6 loss 0.962098  auc  0.6761  rmse  0.1490  df(ActivateDay.Avg) 0.0027
               valid loss 9.786996  auc  0.6946  rmse  0.4547  df(ActivateDay.Avg) 5.1117
      train: epoch 7 loss 1.810169  auc  0.6607  rmse  0.2044  df(ActivateDay.Avg) 0.0034
               valid loss 10.334012  auc  0.4572  rmse  0.4601  df(ActivateDay.Avg) 5.0780
      train: epoch 8 loss 1.234012  auc  0.6789  rmse  0.1687  df(ActivateDay.Avg) 0.0043
               valid loss 9.831336  auc  0.7061  rmse  0.4555  df(ActivateDay.Avg) 5.1178
      train: epoch 9 loss 0.901759  auc  0.6949  rmse  0.1442  df(ActivateDay.Avg) 0.0007
               valid loss 9.831070  auc  0.7181  rmse  0.4541  df(ActivateDay.Avg) 5.1058
     train: epoch 10 loss 0.933446  auc  0.6866  rmse  0.1468  df(ActivateDay.Avg) 0.0008
               valid loss 9.895458  auc  0.6739  rmse  0.4551  df(ActivateDay.Avg) 5.1066
     train: epoch 11 loss 1.023006  auc  0.6900  rmse  0.1536  df(ActivateDay.Avg) 0.0006
               valid loss 9.838258  auc  0.7410  rmse  0.4555  df(ActivateDay.Avg) 5.1221
     train: epoch 12 loss 0.750611  auc  0.7192  rmse  0.1316  df(ActivateDay.Avg) 0.0002
               valid loss 9.900963  auc  0.6868  rmse  0.4568  df(ActivateDay.Avg) 5.1261
     train: epoch 13 loss 0.842429  auc  0.7088  rmse  0.1394  df(ActivateDay.Avg) 0.0000
               valid loss 9.868833  auc  0.6901  rmse  0.4565  df(ActivateDay.Avg) 5.1202
     train: epoch 14 loss 0.695527  auc  0.7361  rmse  0.1267  df(ActivateDay.Avg) 0.0016
               valid loss 9.864537  auc  0.7160  rmse  0.4549  df(ActivateDay.Avg) 5.1086
     train: epoch 15 loss 0.689084  auc  0.7425  rmse  0.1261  df(ActivateDay.Avg) 0.0004
               valid loss 9.860121  auc  0.7448  rmse  0.4544  df(ActivateDay.Avg) 5.1051
     train: epoch 16 loss 0.682675  auc  0.7378  rmse  0.1255  df(ActivateDay.Avg) 0.0008
               valid loss 9.799344  auc  0.7640  rmse  0.4545  df(ActivateDay.Avg) 5.1152
     train: epoch 17 loss 0.656476  auc  0.7500  rmse  0.1231  df(ActivateDay.Avg) 0.0011
               valid loss 9.848158  auc  0.7557  rmse  0.4556  df(ActivateDay.Avg) 5.1220
     train: epoch 18 loss 0.625373  auc  0.7597  rmse  0.1201  df(ActivateDay.Avg) 0.0003
               valid loss 9.821840  auc  0.7541  rmse  0.4560  df(ActivateDay.Avg) 5.1308
     train: epoch 19 loss 0.614173  auc  0.7599  rmse  0.1190  df(ActivateDay.Avg) 0.0016
               valid loss 9.842721  auc  0.7654  rmse  0.4547  df(ActivateDay.Avg) 5.1106
     train: epoch 20 loss 0.623069  auc  0.7588  rmse  0.1199  df(ActivateDay.Avg) 0.0009
