{'model_name': 'LR', 'embedding_size': 32, 'seed': 2, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 25.610166  auc  0.7595  rmse  0.4360  df(ActivateDay.Avg) 4.4690
               valid loss 8.355503  auc  0.7715  rmse  0.4448  df(ActivateDay.Avg) 4.6487
                test loss 22.825785  auc  0.7643  rmse  0.4415  df(ActivateDay.Avg) 4.5458
      train: epoch 1 loss 25.394132  auc  0.7626  rmse  0.4460  df(ActivateDay.Avg) 4.6080
               valid loss 8.399061  auc  0.7714  rmse  0.4427  df(ActivateDay.Avg) 4.6830
      train: epoch 2 loss 25.360753  auc  0.7652  rmse  0.4448  df(ActivateDay.Avg) 4.6050
               valid loss 8.246562  auc  0.7771  rmse  0.4453  df(ActivateDay.Avg) 4.6841
                test loss 22.475702  auc  0.7708  rmse  0.4412  df(ActivateDay.Avg) 4.5735
      train: epoch 3 loss 25.277329  auc  0.7653  rmse  0.4454  df(ActivateDay.Avg) 4.6222
               valid loss 8.240096  auc  0.7761  rmse  0.4464  df(ActivateDay.Avg) 4.7876
      train: epoch 4 loss 25.174248  auc  0.7680  rmse  0.4433  df(ActivateDay.Avg) 4.6087
               valid loss 8.329200  auc  0.7730  rmse  0.4463  df(ActivateDay.Avg) 4.7539
      train: epoch 5 loss 25.076043  auc  0.7688  rmse  0.4447  df(ActivateDay.Avg) 4.6309
               valid loss 8.238015  auc  0.7773  rmse  0.4398  df(ActivateDay.Avg) 4.6969
                test loss 22.397308  auc  0.7702  rmse  0.4364  df(ActivateDay.Avg) 4.5906
      train: epoch 6 loss 25.030929  auc  0.7699  rmse  0.4420  df(ActivateDay.Avg) 4.6046
               valid loss 8.192104  auc  0.7787  rmse  0.4434  df(ActivateDay.Avg) 4.7599
                test loss 22.268768  auc  0.7719  rmse  0.4408  df(ActivateDay.Avg) 4.6637
      train: epoch 7 loss 25.001043  auc  0.7700  rmse  0.4414  df(ActivateDay.Avg) 4.6013
               valid loss 8.253184  auc  0.7747  rmse  0.4459  df(ActivateDay.Avg) 4.8425
      train: epoch 8 loss 24.951622  auc  0.7718  rmse  0.4419  df(ActivateDay.Avg) 4.6137
               valid loss 8.258885  auc  0.7751  rmse  0.4442  df(ActivateDay.Avg) 4.7288
      train: epoch 9 loss 24.937666  auc  0.7722  rmse  0.4423  df(ActivateDay.Avg) 4.6196
               valid loss 8.209618  auc  0.7781  rmse  0.4395  df(ActivateDay.Avg) 4.6891
     train: epoch 10 loss 24.887475  auc  0.7729  rmse  0.4407  df(ActivateDay.Avg) 4.6043
               valid loss 8.206934  auc  0.7784  rmse  0.4433  df(ActivateDay.Avg) 4.7994
     train: epoch 11 loss 24.868608  auc  0.7729  rmse  0.4410  df(ActivateDay.Avg) 4.6113
               valid loss 8.183045  auc  0.7792  rmse  0.4428  df(ActivateDay.Avg) 4.7544
                test loss 22.235257  auc  0.7725  rmse  0.4400  df(ActivateDay.Avg) 4.6566
     train: epoch 12 loss 24.854819  auc  0.7729  rmse  0.4398  df(ActivateDay.Avg) 4.5968
               valid loss 8.187942  auc  0.7801  rmse  0.4449  df(ActivateDay.Avg) 4.7669
                test loss 22.218934  auc  0.7735  rmse  0.4424  df(ActivateDay.Avg) 4.6725
     train: epoch 13 loss 24.840042  auc  0.7734  rmse  0.4412  df(ActivateDay.Avg) 4.6164
               valid loss 8.177179  auc  0.7805  rmse  0.4426  df(ActivateDay.Avg) 4.7751
                test loss 22.219107  auc  0.7734  rmse  0.4400  df(ActivateDay.Avg) 4.6788
     train: epoch 14 loss 24.836291  auc  0.7738  rmse  0.4411  df(ActivateDay.Avg) 4.6163
               valid loss 8.185947  auc  0.7789  rmse  0.4413  df(ActivateDay.Avg) 4.7590
     train: epoch 15 loss 24.831529  auc  0.7742  rmse  0.4397  df(ActivateDay.Avg) 4.6034
               valid loss 8.186166  auc  0.7796  rmse  0.4426  df(ActivateDay.Avg) 4.7582
     train: epoch 16 loss 24.820597  auc  0.7740  rmse  0.4400  df(ActivateDay.Avg) 4.6045
               valid loss 8.194860  auc  0.7790  rmse  0.4439  df(ActivateDay.Avg) 4.7712
     train: epoch 17 loss 24.795611  auc  0.7745  rmse  0.4406  df(ActivateDay.Avg) 4.6115
               valid loss 8.175184  auc  0.7801  rmse  0.4443  df(ActivateDay.Avg) 4.8264
     train: epoch 18 loss 24.800690  auc  0.7745  rmse  0.4408  df(ActivateDay.Avg) 4.6218
               valid loss 8.162006  auc  0.7802  rmse  0.4373  df(ActivateDay.Avg) 4.6183
     train: epoch 19 loss 24.799680  auc  0.7748  rmse  0.4401  df(ActivateDay.Avg) 4.6042
               valid loss 8.165177  auc  0.7801  rmse  0.4404  df(ActivateDay.Avg) 4.7549
     train: epoch 20 loss 24.793672  auc  0.7746  rmse  0.4393  df(ActivateDay.Avg) 4.6004
               valid loss 8.169440  auc  0.7807  rmse  0.4436  df(ActivateDay.Avg) 4.7666
                test loss 22.184851  auc  0.7737  rmse  0.4410  df(ActivateDay.Avg) 4.6712
     train: epoch 21 loss 24.787745  auc  0.7749  rmse  0.4419  df(ActivateDay.Avg) 4.6284
               valid loss 8.189558  auc  0.7792  rmse  0.4387  df(ActivateDay.Avg) 4.7338
     train: epoch 22 loss 24.780549  auc  0.7747  rmse  0.4395  df(ActivateDay.Avg) 4.6037
               valid loss 8.174274  auc  0.7796  rmse  0.4376  df(ActivateDay.Avg) 4.6540
     train: epoch 23 loss 24.776196  auc  0.7751  rmse  0.4395  df(ActivateDay.Avg) 4.6009
               valid loss 8.184460  auc  0.7794  rmse  0.4409  df(ActivateDay.Avg) 4.7370
     train: epoch 24 loss 24.784771  auc  0.7747  rmse  0.4407  df(ActivateDay.Avg) 4.6171
               valid loss 8.168336  auc  0.7803  rmse  0.4386  df(ActivateDay.Avg) 4.6887
     train: epoch 25 loss 24.780143  auc  0.7754  rmse  0.4399  df(ActivateDay.Avg) 4.6061
               valid loss 8.165898  auc  0.7801  rmse  0.4402  df(ActivateDay.Avg) 4.7011
     train: epoch 26 loss 24.778102  auc  0.7754  rmse  0.4402  df(ActivateDay.Avg) 4.6071
