{'model_name': 'LR', 'embedding_size': 32, 'seed': 2, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 5.765968  auc  0.5799  rmse  0.3647  df(ActivateDay.Avg) 0.0755
               valid loss 9.967845  auc  0.5662  rmse  0.4597  df(ActivateDay.Avg) 5.2502
                test loss 26.493450  auc  0.5634  rmse  0.4588  df(ActivateDay.Avg) 5.1638
      train: epoch 1 loss 4.478528  auc  0.6003  rmse  0.3214  df(ActivateDay.Avg) 0.0049
               valid loss 9.829122  auc  0.7003  rmse  0.4551  df(ActivateDay.Avg) 5.2230
                test loss 26.073434  auc  0.7009  rmse  0.4541  df(ActivateDay.Avg) 5.1412
      train: epoch 2 loss 7.994971  auc  0.6047  rmse  0.4295  df(ActivateDay.Avg) 0.0054
               valid loss 9.872093  auc  0.7297  rmse  0.4567  df(ActivateDay.Avg) 5.2408
      train: epoch 3 loss 1.885601  auc  0.6558  rmse  0.2086  df(ActivateDay.Avg) 0.0046
               valid loss 10.516135  auc  0.4805  rmse  0.4666  df(ActivateDay.Avg) 5.2194
      train: epoch 4 loss 3.437469  auc  0.6174  rmse  0.2816  df(ActivateDay.Avg) 0.0008
               valid loss 9.863536  auc  0.6697  rmse  0.4549  df(ActivateDay.Avg) 5.2161
                test loss 26.165842  auc  0.6665  rmse  0.4538  df(ActivateDay.Avg) 5.1349
      train: epoch 5 loss 1.161996  auc  0.6623  rmse  0.1637  df(ActivateDay.Avg) 0.0037
