{'model_name': 'LR', 'embedding_size': 32, 'seed': 3, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 25.507503  auc  0.7598  rmse  0.4359  df(ActivateDay.Avg) 4.4991
               valid loss 8.389073  auc  0.7685  rmse  0.4435  df(ActivateDay.Avg) 4.6988
                test loss 22.701680  auc  0.7619  rmse  0.4429  df(ActivateDay.Avg) 4.7128
      train: epoch 1 loss 25.328756  auc  0.7636  rmse  0.4421  df(ActivateDay.Avg) 4.5942
               valid loss 8.347901  auc  0.7749  rmse  0.4371  df(ActivateDay.Avg) 4.4616
                test loss 22.676698  auc  0.7692  rmse  0.4361  df(ActivateDay.Avg) 4.4733
      train: epoch 2 loss 25.234211  auc  0.7653  rmse  0.4422  df(ActivateDay.Avg) 4.6066
               valid loss 8.338284  auc  0.7722  rmse  0.4413  df(ActivateDay.Avg) 4.6612
      train: epoch 3 loss 25.172414  auc  0.7667  rmse  0.4417  df(ActivateDay.Avg) 4.6158
               valid loss 8.264816  auc  0.7756  rmse  0.4403  df(ActivateDay.Avg) 4.6291
                test loss 22.451819  auc  0.7684  rmse  0.4383  df(ActivateDay.Avg) 4.6250
      train: epoch 4 loss 25.041657  auc  0.7691  rmse  0.4412  df(ActivateDay.Avg) 4.6122
               valid loss 8.284515  auc  0.7765  rmse  0.4379  df(ActivateDay.Avg) 4.5567
                test loss 22.438500  auc  0.7706  rmse  0.4351  df(ActivateDay.Avg) 4.5451
      train: epoch 5 loss 24.994507  auc  0.7705  rmse  0.4398  df(ActivateDay.Avg) 4.5999
               valid loss 8.371645  auc  0.7688  rmse  0.4406  df(ActivateDay.Avg) 4.6018
      train: epoch 6 loss 24.958103  auc  0.7702  rmse  0.4395  df(ActivateDay.Avg) 4.5991
               valid loss 8.253124  auc  0.7759  rmse  0.4400  df(ActivateDay.Avg) 4.6322
      train: epoch 7 loss 24.922933  auc  0.7710  rmse  0.4390  df(ActivateDay.Avg) 4.6016
               valid loss 8.220187  auc  0.7788  rmse  0.4420  df(ActivateDay.Avg) 4.6776
                test loss 22.159016  auc  0.7729  rmse  0.4405  df(ActivateDay.Avg) 4.6803
      train: epoch 8 loss 24.894182  auc  0.7721  rmse  0.4397  df(ActivateDay.Avg) 4.6124
               valid loss 8.199266  auc  0.7789  rmse  0.4382  df(ActivateDay.Avg) 4.6018
                test loss 22.228053  auc  0.7724  rmse  0.4368  df(ActivateDay.Avg) 4.6087
      train: epoch 9 loss 24.856428  auc  0.7724  rmse  0.4392  df(ActivateDay.Avg) 4.6086
               valid loss 8.213023  auc  0.7790  rmse  0.4383  df(ActivateDay.Avg) 4.6740
                test loss 22.158753  auc  0.7730  rmse  0.4368  df(ActivateDay.Avg) 4.6756
     train: epoch 10 loss 24.835727  auc  0.7739  rmse  0.4380  df(ActivateDay.Avg) 4.6024
               valid loss 8.202285  auc  0.7795  rmse  0.4377  df(ActivateDay.Avg) 4.5317
                test loss 22.257205  auc  0.7728  rmse  0.4361  df(ActivateDay.Avg) 4.5390
     train: epoch 11 loss 24.839331  auc  0.7733  rmse  0.4375  df(ActivateDay.Avg) 4.5954
               valid loss 8.224965  auc  0.7782  rmse  0.4383  df(ActivateDay.Avg) 4.5706
     train: epoch 12 loss 24.821780  auc  0.7731  rmse  0.4389  df(ActivateDay.Avg) 4.6112
               valid loss 8.211807  auc  0.7789  rmse  0.4382  df(ActivateDay.Avg) 4.5988
     train: epoch 13 loss 24.808371  auc  0.7738  rmse  0.4388  df(ActivateDay.Avg) 4.6121
               valid loss 8.192118  auc  0.7796  rmse  0.4357  df(ActivateDay.Avg) 4.5890
                test loss 22.115797  auc  0.7732  rmse  0.4344  df(ActivateDay.Avg) 4.5951
     train: epoch 14 loss 24.801466  auc  0.7739  rmse  0.4364  df(ActivateDay.Avg) 4.5885
               valid loss 8.197101  auc  0.7796  rmse  0.4381  df(ActivateDay.Avg) 4.5657
     train: epoch 15 loss 24.796090  auc  0.7740  rmse  0.4388  df(ActivateDay.Avg) 4.6159
               valid loss 8.219499  auc  0.7793  rmse  0.4345  df(ActivateDay.Avg) 4.4993
     train: epoch 16 loss 24.792908  auc  0.7740  rmse  0.4372  df(ActivateDay.Avg) 4.5928
               valid loss 8.186465  auc  0.7798  rmse  0.4397  df(ActivateDay.Avg) 4.6190
                test loss 22.219679  auc  0.7728  rmse  0.4386  df(ActivateDay.Avg) 4.6281
     train: epoch 17 loss 24.781566  auc  0.7740  rmse  0.4383  df(ActivateDay.Avg) 4.6101
               valid loss 8.190233  auc  0.7796  rmse  0.4364  df(ActivateDay.Avg) 4.5766
     train: epoch 18 loss 24.788510  auc  0.7744  rmse  0.4372  df(ActivateDay.Avg) 4.5978
               valid loss 8.201748  auc  0.7790  rmse  0.4399  df(ActivateDay.Avg) 4.6597
     train: epoch 19 loss 24.769812  auc  0.7743  rmse  0.4381  df(ActivateDay.Avg) 4.6087
               valid loss 8.227140  auc  0.7778  rmse  0.4357  df(ActivateDay.Avg) 4.5618
     train: epoch 20 loss 24.784662  auc  0.7744  rmse  0.4380  df(ActivateDay.Avg) 4.6040
               valid loss 8.203855  auc  0.7795  rmse  0.4385  df(ActivateDay.Avg) 4.6671
     train: epoch 21 loss 24.777199  auc  0.7743  rmse  0.4376  df(ActivateDay.Avg) 4.6065
               valid loss 8.185620  auc  0.7799  rmse  0.4363  df(ActivateDay.Avg) 4.5678
                test loss 22.121858  auc  0.7735  rmse  0.4344  df(ActivateDay.Avg) 4.5672
