{'model_name': 'LR', 'embedding_size': 32, 'seed': 3, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 6.025787  auc  0.5830  rmse  0.3729  df(ActivateDay.Avg) 0.0646
               valid loss 10.097372  auc  0.5404  rmse  0.4579  df(ActivateDay.Avg) 5.1141
                test loss 26.694345  auc  0.5551  rmse  0.4582  df(ActivateDay.Avg) 5.1422
      train: epoch 1 loss 4.998493  auc  0.5961  rmse  0.3396  df(ActivateDay.Avg) 0.0028
               valid loss 10.033215  auc  0.6021  rmse  0.4619  df(ActivateDay.Avg) 5.1560
      train: epoch 2 loss 4.276582  auc  0.6032  rmse  0.3141  df(ActivateDay.Avg) 0.0032
               valid loss 9.792736  auc  0.5914  rmse  0.4566  df(ActivateDay.Avg) 5.0882
                test loss 26.109487  auc  0.5870  rmse  0.4561  df(ActivateDay.Avg) 5.0912
      train: epoch 3 loss 5.058636  auc  0.6228  rmse  0.3416  df(ActivateDay.Avg) 0.0067
               valid loss 9.775866  auc  0.6671  rmse  0.4536  df(ActivateDay.Avg) 5.1126
                test loss 25.955574  auc  0.6646  rmse  0.4541  df(ActivateDay.Avg) 5.1372
      train: epoch 4 loss 2.896563  auc  0.6237  rmse  0.2585  df(ActivateDay.Avg) 0.0010
               valid loss 9.795884  auc  0.7283  rmse  0.4534  df(ActivateDay.Avg) 5.1195
                test loss 26.018094  auc  0.7178  rmse  0.4537  df(ActivateDay.Avg) 5.1397
      train: epoch 5 loss 3.218633  auc  0.6503  rmse  0.2725  df(ActivateDay.Avg) 0.0033
               valid loss 9.766700  auc  0.7587  rmse  0.4548  df(ActivateDay.Avg) 5.1448
      train: epoch 6 loss 1.680652  auc  0.6513  rmse  0.1969  df(ActivateDay.Avg) 0.0018
               valid loss 9.833281  auc  0.6989  rmse  0.4549  df(ActivateDay.Avg) 5.1367
      train: epoch 7 loss 1.687560  auc  0.6584  rmse  0.1973  df(ActivateDay.Avg) 0.0016
               valid loss 9.929808  auc  0.6137  rmse  0.4569  df(ActivateDay.Avg) 5.1307
      train: epoch 8 loss 4.758952  auc  0.6320  rmse  0.3314  df(ActivateDay.Avg) 0.0055
               valid loss 10.393310  auc  0.5341  rmse  0.4647  df(ActivateDay.Avg) 5.1448
      train: epoch 9 loss 1.731798  auc  0.6602  rmse  0.1999  df(ActivateDay.Avg) 0.0021
               valid loss 9.757323  auc  0.7543  rmse  0.4530  df(ActivateDay.Avg) 5.1240
                test loss 25.937461  auc  0.7473  rmse  0.4534  df(ActivateDay.Avg) 5.1437
     train: epoch 10 loss 1.131335  auc  0.6866  rmse  0.1616  df(ActivateDay.Avg) 0.0004
               valid loss 9.798666  auc  0.7473  rmse  0.4542  df(ActivateDay.Avg) 5.1331
