{'model_name': 'LR', 'embedding_size': 32, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'BCE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 25.501772  auc  0.7624  rmse  0.4351  df(ActivateDay.Avg) 4.4655
               valid loss 8.439567  auc  0.7681  rmse  0.4411  df(ActivateDay.Avg) 4.5984
                test loss 22.666631  auc  0.7662  rmse  0.4400  df(ActivateDay.Avg) 4.5594
      train: epoch 1 loss 25.328622  auc  0.7653  rmse  0.4444  df(ActivateDay.Avg) 4.5933
               valid loss 8.459116  auc  0.7693  rmse  0.4432  df(ActivateDay.Avg) 4.5385
                test loss 22.570689  auc  0.7696  rmse  0.4410  df(ActivateDay.Avg) 4.4964
      train: epoch 2 loss 25.161309  auc  0.7672  rmse  0.4448  df(ActivateDay.Avg) 4.6128
               valid loss 8.392446  auc  0.7668  rmse  0.4415  df(ActivateDay.Avg) 4.6698
      train: epoch 3 loss 25.073612  auc  0.7689  rmse  0.4425  df(ActivateDay.Avg) 4.5906
               valid loss 8.420796  auc  0.7666  rmse  0.4418  df(ActivateDay.Avg) 4.6460
      train: epoch 4 loss 25.117822  auc  0.7697  rmse  0.4422  df(ActivateDay.Avg) 4.6009
               valid loss 8.386065  auc  0.7681  rmse  0.4441  df(ActivateDay.Avg) 4.6823
      train: epoch 5 loss 24.933522  auc  0.7712  rmse  0.4413  df(ActivateDay.Avg) 4.5932
               valid loss 8.394293  auc  0.7693  rmse  0.4414  df(ActivateDay.Avg) 4.6437
                test loss 22.444871  auc  0.7685  rmse  0.4407  df(ActivateDay.Avg) 4.6104
      train: epoch 6 loss 24.902191  auc  0.7711  rmse  0.4417  df(ActivateDay.Avg) 4.6029
               valid loss 8.349573  auc  0.7710  rmse  0.4426  df(ActivateDay.Avg) 4.7387
                test loss 22.426144  auc  0.7689  rmse  0.4408  df(ActivateDay.Avg) 4.6874
      train: epoch 7 loss 24.871881  auc  0.7732  rmse  0.4410  df(ActivateDay.Avg) 4.5997
               valid loss 8.336211  auc  0.7715  rmse  0.4440  df(ActivateDay.Avg) 4.8144
                test loss 22.326189  auc  0.7712  rmse  0.4434  df(ActivateDay.Avg) 4.7769
      train: epoch 8 loss 24.823762  auc  0.7726  rmse  0.4400  df(ActivateDay.Avg) 4.5982
               valid loss 8.342294  auc  0.7730  rmse  0.4379  df(ActivateDay.Avg) 4.5442
                test loss 22.395213  auc  0.7717  rmse  0.4368  df(ActivateDay.Avg) 4.5090
      train: epoch 9 loss 24.803758  auc  0.7738  rmse  0.4409  df(ActivateDay.Avg) 4.6055
               valid loss 8.312039  auc  0.7737  rmse  0.4398  df(ActivateDay.Avg) 4.6918
                test loss 22.256475  auc  0.7721  rmse  0.4380  df(ActivateDay.Avg) 4.6445
     train: epoch 10 loss 24.788113  auc  0.7748  rmse  0.4398  df(ActivateDay.Avg) 4.5995
               valid loss 8.303987  auc  0.7734  rmse  0.4383  df(ActivateDay.Avg) 4.6471
     train: epoch 11 loss 24.750161  auc  0.7752  rmse  0.4390  df(ActivateDay.Avg) 4.5902
               valid loss 8.299271  auc  0.7749  rmse  0.4391  df(ActivateDay.Avg) 4.5922
                test loss 22.254754  auc  0.7735  rmse  0.4373  df(ActivateDay.Avg) 4.5499
     train: epoch 12 loss 24.739155  auc  0.7758  rmse  0.4402  df(ActivateDay.Avg) 4.6052
               valid loss 8.296661  auc  0.7728  rmse  0.4389  df(ActivateDay.Avg) 4.6664
     train: epoch 13 loss 24.738091  auc  0.7753  rmse  0.4389  df(ActivateDay.Avg) 4.5925
               valid loss 8.306077  auc  0.7738  rmse  0.4394  df(ActivateDay.Avg) 4.6212
     train: epoch 14 loss 24.719635  auc  0.7756  rmse  0.4396  df(ActivateDay.Avg) 4.6029
               valid loss 8.312767  auc  0.7732  rmse  0.4373  df(ActivateDay.Avg) 4.5983
     train: epoch 15 loss 24.706247  auc  0.7761  rmse  0.4385  df(ActivateDay.Avg) 4.5863
               valid loss 8.278548  auc  0.7744  rmse  0.4397  df(ActivateDay.Avg) 4.6699
     train: epoch 16 loss 24.706269  auc  0.7761  rmse  0.4387  df(ActivateDay.Avg) 4.5936
               valid loss 8.299664  auc  0.7745  rmse  0.4393  df(ActivateDay.Avg) 4.6254
     train: epoch 17 loss 24.703175  auc  0.7757  rmse  0.4394  df(ActivateDay.Avg) 4.6011
               valid loss 8.276304  auc  0.7751  rmse  0.4392  df(ActivateDay.Avg) 4.6410
                test loss 22.229940  auc  0.7730  rmse  0.4373  df(ActivateDay.Avg) 4.5931
     train: epoch 18 loss 24.694802  auc  0.7764  rmse  0.4389  df(ActivateDay.Avg) 4.5914
               valid loss 8.291056  auc  0.7736  rmse  0.4410  df(ActivateDay.Avg) 4.7009
