{'model_name': 'LR', 'embedding_size': 32, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'dropout_p': 0.2, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 7.274605  auc  0.6027  rmse  0.4097  df(ActivateDay.Avg) 0.0642
               valid loss 9.836740  auc  0.7003  rmse  0.4558  df(ActivateDay.Avg) 5.2095
                test loss 26.129580  auc  0.6971  rmse  0.4554  df(ActivateDay.Avg) 5.1565
      train: epoch 1 loss 5.298862  auc  0.5928  rmse  0.3496  df(ActivateDay.Avg) 0.0046
               valid loss 10.379400  auc  0.4404  rmse  0.4678  df(ActivateDay.Avg) 5.2335
      train: epoch 2 loss 4.222412  auc  0.6013  rmse  0.3121  df(ActivateDay.Avg) 0.0016
               valid loss 9.893356  auc  0.6145  rmse  0.4588  df(ActivateDay.Avg) 5.1883
      train: epoch 3 loss 15.791218  auc  0.5849  rmse  0.6036  df(ActivateDay.Avg) 0.0173
               valid loss 9.839194  auc  0.7438  rmse  0.4560  df(ActivateDay.Avg) 5.2123
      train: epoch 4 loss 1.120985  auc  0.6784  rmse  0.1608  df(ActivateDay.Avg) 0.0032
               valid loss 9.933711  auc  0.6076  rmse  0.4575  df(ActivateDay.Avg) 5.2067
      train: epoch 5 loss 1.802965  auc  0.6335  rmse  0.2040  df(ActivateDay.Avg) 0.0004
               valid loss 9.927212  auc  0.5665  rmse  0.4570  df(ActivateDay.Avg) 5.1933
      train: epoch 6 loss 3.492712  auc  0.6021  rmse  0.2839  df(ActivateDay.Avg) 0.0009
               valid loss 9.810603  auc  0.6903  rmse  0.4538  df(ActivateDay.Avg) 5.1819
                test loss 26.079550  auc  0.6817  rmse  0.4532  df(ActivateDay.Avg) 5.1281
      train: epoch 7 loss 3.009658  auc  0.6138  rmse  0.2635  df(ActivateDay.Avg) 0.0025
               valid loss 9.856201  auc  0.7096  rmse  0.4555  df(ActivateDay.Avg) 5.2005
      train: epoch 8 loss 3.545405  auc  0.6372  rmse  0.2860  df(ActivateDay.Avg) 0.0018
               valid loss 9.780946  auc  0.7561  rmse  0.4546  df(ActivateDay.Avg) 5.2030
      train: epoch 9 loss 1.562196  auc  0.6729  rmse  0.1898  df(ActivateDay.Avg) 0.0002
               valid loss 9.901698  auc  0.7012  rmse  0.4562  df(ActivateDay.Avg) 5.2054
     train: epoch 10 loss 2.054037  auc  0.6541  rmse  0.2177  df(ActivateDay.Avg) 0.0019
               valid loss 9.958091  auc  0.6515  rmse  0.4577  df(ActivateDay.Avg) 5.2054
     train: epoch 11 loss 2.312597  auc  0.6696  rmse  0.2310  df(ActivateDay.Avg) 0.0000
               valid loss 9.891819  auc  0.7387  rmse  0.4558  df(ActivateDay.Avg) 5.2010
     train: epoch 12 loss 1.691654  auc  0.6894  rmse  0.1976  df(ActivateDay.Avg) 0.0008
               valid loss 9.900542  auc  0.7002  rmse  0.4566  df(ActivateDay.Avg) 5.2107
     train: epoch 13 loss 1.341326  auc  0.6938  rmse  0.1759  df(ActivateDay.Avg) 0.0002
               valid loss 9.739312  auc  0.6449  rmse  0.4516  df(ActivateDay.Avg) 5.1551
                test loss 25.809020  auc  0.6536  rmse  0.4514  df(ActivateDay.Avg) 5.1068
     train: epoch 14 loss 1.142773  auc  0.6988  rmse  0.1624  df(ActivateDay.Avg) 0.0031
               valid loss 9.824428  auc  0.7173  rmse  0.4564  df(ActivateDay.Avg) 5.2163
     train: epoch 15 loss 1.341031  auc  0.7005  rmse  0.1759  df(ActivateDay.Avg) 0.0021
               valid loss 9.837351  auc  0.7405  rmse  0.4557  df(ActivateDay.Avg) 5.2072
     train: epoch 16 loss 1.047434  auc  0.7120  rmse  0.1555  df(ActivateDay.Avg) 0.0002
               valid loss 9.838503  auc  0.7402  rmse  0.4558  df(ActivateDay.Avg) 5.2102
     train: epoch 17 loss 1.368757  auc  0.7052  rmse  0.1777  df(ActivateDay.Avg) 0.0014
               valid loss 9.831572  auc  0.7547  rmse  0.4546  df(ActivateDay.Avg) 5.1941
     train: epoch 18 loss 0.698199  auc  0.7394  rmse  0.1269  df(ActivateDay.Avg) 0.0015
               valid loss 9.903572  auc  0.7242  rmse  0.4575  df(ActivateDay.Avg) 5.2221
     train: epoch 19 loss 0.819344  auc  0.7314  rmse  0.1375  df(ActivateDay.Avg) 0.0002
               valid loss 9.821716  auc  0.7675  rmse  0.4554  df(ActivateDay.Avg) 5.2076
     train: epoch 20 loss 0.818358  auc  0.7334  rmse  0.1374  df(ActivateDay.Avg) 0.0001
               valid loss 9.865291  auc  0.7524  rmse  0.4566  df(ActivateDay.Avg) 5.2179
     train: epoch 21 loss 0.827299  auc  0.7306  rmse  0.1382  df(ActivateDay.Avg) 0.0017
               valid loss 9.867797  auc  0.7670  rmse  0.4549  df(ActivateDay.Avg) 5.1956
     train: epoch 22 loss 0.821237  auc  0.7406  rmse  0.1376  df(ActivateDay.Avg) 0.0021
               valid loss 9.680944  auc  0.7261  rmse  0.4561  df(ActivateDay.Avg) 5.2161
     train: epoch 23 loss 0.800922  auc  0.7333  rmse  0.1359  df(ActivateDay.Avg) 0.0002
               valid loss 9.802047  auc  0.7672  rmse  0.4558  df(ActivateDay.Avg) 5.2155
     train: epoch 24 loss 0.642023  auc  0.7594  rmse  0.1217  df(ActivateDay.Avg) 0.0016
               valid loss 9.821819  auc  0.7657  rmse  0.4542  df(ActivateDay.Avg) 5.1937
